Date,Close,Volume,Open,High,Low
8/25/2015,582.06,"3,538,000",614.91,617.45,581.11
8/26/2015,628.62,"4,235,900",610.35,631.71,599.05
8/27/2015,637.61,"3,491,300",639.4,643.59,622
8/28/2015,630.38,"1,978,700",632.82,636.88,624.56
8/31/2015,618.25,"2,176,700",627.54,635.8,617.68
9/1/2015,597.79,"3,702,100",602.36,612.86,594.1
9/2/2015,614.34,"2,575,600",605.59,614.34,599.71
9/3/2015,606.25,"1,759,600",617,619.71,602.82
9/4/2015,600.7,"2,089,000",600,603.47,595.25
9/8/2015,614.66,"2,279,500",612.49,616.31,604.12
9/9/2015,612.72,"1,702,100",621.22,626.52,609.6
9/10/2015,621.35,"1,905,300",613.1,624.16,611.43
9/11/2015,625.77,"1,373,500",619.75,625.78,617.42
9/14/2015,623.24,"1,702,300",625.7,625.86,619.43
9/15/2015,635.14,"2,084,400",626.7,638.7,623.78
9/16/2015,635.98,"1,286,500",635.47,637.95,632.32
9/17/2015,642.9,"2,274,700",637.79,650.9,635.02
9/18/2015,629.25,"5,133,400",636.79,640,627.02
9/21/2015,635.44,"1,788,500",634.4,636.49,625.94
9/22/2015,622.69,"2,562,900",627,627.55,615.43
9/23/2015,622.36,"1,470,900",622.05,628.93,620
9/24/2015,625.8,"2,240,100",616.64,627.32,612.4
9/25/2015,611.97,"2,174,000",629.77,629.77,611
9/28/2015,594.89,"3,127,700",610.34,614.6,589.38
9/29/2015,594.97,"2,309,500",597.28,605,590.22
9/30/2015,608.42,"2,413,400",603.28,608.76,600.73
10/1/2015,611.29,"1,867,600",608.37,612.09,599.85
10/2/2015,626.91,"2,684,800",607.2,627.34,603.13
10/5/2015,641.47,"1,803,600",632,643.01,627
10/6/2015,645.44,"2,166,300",638.84,649.25,636.53
10/7/2015,642.36,"2,092,700",649.24,650.61,632.15
10/8/2015,639.16,"2,182,100",641.36,644.45,625.56
10/9/2015,643.61,"1,648,700",640,645.99,635.32
10/12/2015,646.67,"1,275,200",642.09,648.5,639.01
10/13/2015,652.3,"1,807,700",643.15,657.81,643.15
10/14/2015,651.16,"1,415,500",653.21,659.39,648.85
10/15/2015,661.74,"1,885,700",654.66,663.13,654.46
10/16/2015,662.2,"1,611,100",664.11,664.97,657.2
10/19/2015,666.1,"1,477,300",661.18,666.82,659.58
10/20/2015,650.28,"2,490,000",664.04,664.72,644.2
10/21/2015,642.61,"1,791,100",654.15,655.87,641.73
10/22/2015,651.79,"4,071,000",646.7,657.8,644.01
10/23/2015,702,"6,653,900",727.5,730,701.5
10/26/2015,712.78,"2,716,600",701.55,719.15,701.26
